time_start,client1,client2,time_end
0,11,9,0.5
0,11,2,0.5
0,11,10,0.5
0,11,4,0.5
1,11,0,1.5
1,11,16,1.5
970,7,9,1213.0
975,7,4,1321.0
989,10,7,1501.0
990,10,2,1508.0
990,10,9,1503.0
991,7,11,1293.0
991,7,2,1220.0
1007,7,6,1263.0
1008,10,6,1170.0
1011,7,13,1133.0
1011,10,13,1166.0
1017,2,0,1845.0
1017,2,13,1096.0
1017,4,6,1173.0
1019,4,13,1019.5
1019,4,0,1019.5
1019,4,2,1019.5
1021,4,10,1021.5
1055,2,16,1861.0
1140,10,8,1499.0
1153,10,16,1505.0
1154,10,0,1507.0
1169,0,13,1169.5
1196,8,13,1196.5
1197,8,11,1197.5
1197,8,6,1197.5
1197,8,4,1197.5
1257,0,16,1257.5
1269,0,6,1269.5
1702,9,8,3170.0
1706,7,16,1706.5
1709,9,16,2060.0
1711,9,0,2063.0
1784,8,11,2035.0
1934,12,11,2375.0
1934,12,11,2375.0
1942,12,8,2037.0
1942,12,8,2037.0
1943,12,7,1943.5
1943,12,7,1943.5
1946,12,9,1946.5
1946,12,9,1946.5
1948,12,16,2417.0
1948,12,16,2417.0
1950,12,0,1950.5
1950,12,0,1950.5
1950,12,10,1950.5
1950,12,10,1950.5
1951,12,2,1951.5
1951,12,2,1951.5
1958,12,6,1958.5
1958,12,6,1958.5
2049,8,7,2049.5
2055,8,16,2055.5
2057,8,0,2057.5
2062,8,2,2062.5
2066,9,2,2066.5
2069,8,6,2475.0
2074,9,6,2450.0
2355,6,2,2355.5
2643,8,4,2690.0
2749,6,20,2761.0
2771,9,4,3145.0
2930,4,10,2930.5
4634,6,18,6621.0
5639,4,28,6029.0
6991,10,9,7396.0
8003,6,18,8662.0
12650,9,4,14533.0
77822,4,31,78208.0
79769,4,31,80156.0
94174,15,3,95975.0
94178,15,5,95975.0
96041,15,5,96137.0
96041,15,3,96137.0
97323,4,31,98098.0
98167,15,5,99606.0
98168,15,3,99606.0
128880,15,3,130779.0
128883,15,5,130778.0
212192,15,23,213311.0
218578,15,23,218578.5
254783,9,8,257508.0
256085,2,13,256085.5
257823,2,13,257823.5
258699,15,29,260420.0
260408,15,32,260408.5
262436,9,4,262436.5
262464,9,8,262464.5
263650,8,4,263650.5
265078,15,34,266427.0
265901,9,17,265901.5
266092,15,32,266105.0
267457,15,29,270718.0
268386,15,32,268386.5
268720,15,34,269794.0
270360,0,17,270360.5
271925,0,17,272327.0
271970,15,33,274588.0
272646,15,27,274593.0
274191,15,35,274567.0
274572,15,37,274594.0
275695,15,29,277484.0
276149,15,27,276149.5
276516,15,32,276940.0
277105,9,8,279146.0
277457,15,33,279164.0
277458,15,26,279153.0
277459,15,34,277459.5
277461,15,27,279169.0
280862,15,25,284034.0
280863,15,27,281169.0
280865,15,30,284021.0
280951,15,26,284014.0
280957,15,34,284035.0
281053,15,37,282417.0
281055,15,33,284028.0
281056,15,29,283350.0
281062,15,32,281095.0
281272,15,35,281999.0
284375,15,34,284493.0
284376,15,25,284485.0
284378,15,29,284495.0
284472,15,30,284485.0
294784,4,31,297490.0
305646,4,31,307195.0
305759,15,23,305855.0
307227,15,23,307499.0
308699,15,23,309228.0
321272,15,3,323409.0
321276,15,40,323408.0
336091,11,13,337610.0
336449,12,13,339195.0
336460,12,11,339206.0
336515,12,28,339260.0
337207,12,21,337210.0
338578,12,21,339262.0
339790,2,13,341063.0
339947,13,28,339959.0
340301,2,21,340301.5
340544,12,13,341215.0
340555,12,11,341228.0
340593,12,2,341265.0
340604,12,21,340604.5
340607,12,28,341278.0
341399,9,20,344108.0
341668,13,28,341668.5
342951,9,39,344117.0
342966,15,3,342967.0
342972,15,40,342984.0
343853,8,39,343853.5
343856,8,20,344240.0
347120,15,33,347120.5
347955,9,39,347955.5
348340,9,39,348584.0
348535,9,8,349070.0
348802,15,33,352327.0
348803,15,41,348826.0
348957,9,2,348957.5
348996,8,2,348996.5
349217,12,28,349686.0
349367,9,20,351338.0
349547,12,17,349684.0
349756,9,1,352277.0
349800,8,1,351602.0
350853,15,37,351189.0
351187,15,32,352231.0
351189,15,29,352327.0
351540,12,17,352630.0
352403,15,26,354382.0
352403,15,25,354377.0
352405,15,33,354380.0
352406,15,30,354384.0
352406,15,29,354381.0
352617,15,41,354262.0
353377,8,1,354297.0
353425,12,44,353441.0
353632,9,8,354019.0
353876,15,32,353876.5
354375,15,35,354375.5
356524,15,41,356538.0
357258,15,33,358971.0
357594,15,35,357594.5
357597,15,37,357597.5
358630,15,41,359547.0
360530,15,32,361544.0
361543,15,41,361558.0
361544,15,35,361544.5
361552,15,37,361552.5
362914,15,41,362914.5
363933,15,37,364959.0
364608,15,32,365628.0
364944,15,29,365982.0
365281,15,35,365281.5
365626,15,41,365975.0
367958,0,16,369884.0
368532,12,16,369657.0
368534,12,0,369658.0
369626,15,25,369639.0
369626,15,26,369626.5
369632,15,33,369644.0
369634,15,29,369650.0
369638,15,30,369638.5
370959,12,0,370959.5
374927,15,26,374941.0
374928,15,33,374941.0
374929,15,37,374943.0
374930,15,41,374930.5
387849,15,3,387863.0
429650,15,32,431908.0
429911,9,4,430308.0
430026,15,41,431812.0
430224,15,37,430707.0
432103,15,37,432103.5
433545,15,35,434590.0
433548,15,41,434598.0
434134,8,14,434134.5
434930,15,37,435943.0
435952,15,41,436955.0
436608,15,29,438640.0
437949,15,32,437949.5
437951,15,35,437951.5
438302,15,41,438637.0
439986,15,29,441376.0
439986,15,35,440339.0
441012,15,32,441382.0
441386,15,37,441386.5
441776,15,41,442233.0
443403,11,2,444548.0
449181,12,13,449181.5
449752,12,9,449752.5
449985,11,9,450064.0
450006,11,2,450081.0
526743,8,4,527935.0
529436,9,8,531449.0
529814,9,4,531425.0
530834,8,4,530834.5
532345,8,4,533844.0
533069,8,7,535745.0
533356,7,4,533730.0
608535,10,9,610344.0
608643,10,36,608953.0
608685,10,8,610009.0
608773,9,36,608786.0
610812,9,36,610812.5
611587,9,8,614973.0
765141,15,3,765341.0
766521,15,43,766521.5
768290,15,43,770073.0
791566,15,36,793918.0
795873,15,36,799403.0
801419,15,36,803990.0
805430,15,36,806405.0
819862,15,40,819862.5
819862,15,3,819864.0
870854,9,8,871689.0
879109,7,9,880237.0
879968,8,7,879968.5
881934,7,9,881934.5
889053,9,42,890736.0
889985,11,40,892730.0
892005,9,42,892848.0
940750,12,28,941128.0
944229,12,28,945634.0
947010,11,16,947010.5
949345,12,11,949345.5
949368,12,16,949368.5
954416,12,11,957557.0
954438,12,16,957580.0
955681,12,44,955684.0
957196,12,17,957196.5
959271,12,11,959896.0
959332,12,17,959332.5
961105,9,20,961105.5
962245,6,21,962257.0
962632,6,22,962632.5
963140,9,8,963140.5
972630,2,16,974308.0
972900,11,2,974280.0
973215,10,8,976782.0
973618,10,22,973618.5
973803,11,16,973803.5
974129,12,16,974129.5
974146,12,2,976786.0
976015,12,16,978145.0
978162,12,2,978162.5
979521,10,8,980921.0
982577,9,42,982577.5
1047301,9,44,1047306.0
1049039,2,13,1051098.0
1049086,2,16,1051147.0
1049114,2,0,1051175.0
1055495,9,16,1057129.0
1058808,11,13,1061095.0
1058855,11,0,1061142.0
1058861,11,2,1061149.0
1059279,9,42,1059279.5
1461869,11,0,1463412.0
1550528,12,44,1550528.5
1554451,11,38,1557163.0
1558110,12,11,1558538.0
1558171,12,38,1558595.0
1560093,12,11,1561471.0
1560152,12,17,1560540.0
1563153,9,21,1563153.5
1564001,9,1,1564858.0
1565282,12,11,1565282.5
1565340,12,44,1565340.5
1566118,9,44,1566118.5
1577751,11,16,1580066.0
1577780,11,38,1580929.0
1577891,12,13,1578266.0
1577902,12,11,1578278.0
1577925,12,16,1578301.0
1577959,12,38,1578335.0
1578098,11,13,1580792.0
1578128,10,21,1579585.0
1581961,12,13,1583306.0
1581975,12,11,1583320.0
1581996,12,16,1584195.0
1582031,12,38,1583375.0
1638028,9,16,1638028.5
1652907,9,24,1654980.0
1654433,11,2,1654820.0
1655146,2,0,1656814.0
1655380,9,2,1658284.0
1655529,2,16,1656783.0
1655581,11,16,1655581.5
1655585,11,0,1655585.5
1656209,9,24,1658294.0
1656428,2,24,1656842.0
1721793,6,24,1722940.0
1722923,9,6,1722923.5
1722924,9,24,1724220.0
1725606,11,9,1727532.0
1726069,6,11,1726846.0
1728005,9,6,1728005.5
1728447,6,11,1730095.0
1738574,9,8,1738574.5
1740256,9,8,1740256.5
1753546,10,39,1754247.0
1807122,9,42,1807229.0
1813306,9,6,1813306.5
1817977,9,6,1817977.5
1819295,6,18,1822336.0
1820813,6,39,1820813.5
1851290,9,19,1853277.0
1851291,9,42,1851587.0
1855079,9,19,1855502.0
1896801,9,19,1896801.5
1900472,9,19,1900472.5
2149865,12,28,2151011.0
2149869,12,24,2151011.0
2150190,12,11,2150190.5
2150233,12,2,2151000.0
2150451,11,2,2150451.5
2150456,2,24,2153391.0
2150466,11,24,2150479.0
2152460,12,2,2152460.5
2152473,12,28,2152473.5
2152476,12,24,2152476.5
2152978,2,21,2152978.5
2154043,12,2,2155576.0
2154054,12,24,2155587.0
2154058,12,28,2155589.0
2154488,12,21,2154488.5
2156451,9,2,2156451.5
2156464,9,1,2156464.5
2156886,9,39,2158161.0
2158140,9,2,2159437.0
2160776,9,39,2162040.0
2161177,9,2,2162020.0
2161807,12,16,2162897.0
2165423,9,24,2165423.5
2168793,9,20,2168793.5
2179359,9,42,2181885.0
2183150,9,42,2186534.0
2192479,10,22,2192479.5
2265439,2,16,2266698.0
2329436,9,6,2329854.0
2329730,8,6,2329730.5
2330936,8,24,2331755.0
2333208,9,24,2334468.0
2423288,6,18,2426328.0
2429363,6,36,2429375.0
2429364,6,20,2431655.0
2670621,9,42,2671048.0
2677949,7,9,2679837.0
2756129,11,24,2758084.0
2761742,10,9,2764505.0
2762186,10,1,2765346.0
2763845,12,11,2766515.0
2763946,9,1,2763946.5
2764630,12,16,2766538.0
2764935,11,16,2767244.0
2772515,10,1,2772515.5
2774038,10,9,2776884.0
2778215,10,9,2780930.0
2779316,10,8,2780923.0
2782165,10,8,2782165.5
2783411,10,22,2784998.0
2787111,11,24,2789349.0
2789680,11,20,2789680.5
2789894,10,22,2790685.0
2793724,10,22,2794645.0
2795076,9,19,2795076.5
2801823,9,42,2801823.5
2854508,9,14,2854516.0
2855771,9,14,2857041.0
2859572,9,14,2859572.5
2860840,9,14,2860840.5
2862522,9,24,2865063.0
2866711,9,0,2868433.0
2868107,12,9,2868107.5
2868113,12,0,2868500.0
2869646,12,9,2871563.0
2872830,12,24,2872830.5
2874053,12,16,2874053.5
2874085,12,24,2874085.5
2876326,12,16,2876326.5
2876360,12,24,2876360.5
2879838,9,16,2879838.5
2879933,12,16,2879933.5
2980176,15,3,2981506.0
2986407,15,3,2986741.0
